常一线产率,常二线产率,常三线产率
0.12,0.139,0.048
0.112,0.161,0.05
0.127,0.153,0.063
0.106,0.159,0.043
0.103,0.163,0.046
0.111,0.162,0.049
0.096,0.159,0.061
0.115,0.161,0.053
0.12,0.149,0.038
0.118,0.145,0.054
0.114,0.148,0.053
0.116,0.149,0.037
0.107,0.159,0.055
0.115,0.165,0.047
0.11,0.16,0.049
0.101,0.164,0.059
0.107,0.155,0.046
0.119,0.147,0.051
0.121,0.156,0.034
0.115,0.155,0.04
0.113,0.153,0.042
0.107,0.167,0.066
0.123,0.148,0.033
0.128,0.153,0.063
0.113,0.153,0.038
0.111,0.16,0.051
0.113,0.144,0.049
0.113,0.145,0.051
0.098,0.166,0.065
0.122,0.145,0.053
0.114,0.136,0.047
0.123,0.15,0.036
0.106,0.162,0.062
0.111,0.162,0.049
0.121,0.151,0.039
0.113,0.157,0.038
0.104,0.164,0.057
0.114,0.159,0.05
0.116,0.158,0.053
0.118,0.143,0.053
0.125,0.147,0.035
0.127,0.147,0.034
0.113,0.15,0.06
0.118,0.14,0.034
0.118,0.143,0.037
0.114,0.146,0.049
0.125,0.147,0.033
0.118,0.146,0.047
0.119,0.148,0.06
0.131,0.148,0.064
0.126,0.15,0.031
0.11,0.165,0.038
0.118,0.15,0.061
0.121,0.147,0.038
0.111,0.157,0.056
0.124,0.153,0.037
0.111,0.153,0.047
0.119,0.146,0.041
0.116,0.161,0.051
0.121,0.154,0.058
0.117,0.145,0.048
0.109,0.156,0.048
0.112,0.142,0.05
0.103,0.162,0.063
0.111,0.16,0.054
0.118,0.146,0.057
0.103,0.161,0.041
0.107,0.158,0.05
0.114,0.157,0.052
0.111,0.16,0.054
0.112,0.14,0.052
0.114,0.157,0.054
0.114,0.144,0.041
0.121,0.15,0.032
0.12,0.152,0.036
0.126,0.155,0.035
0.127,0.149,0.058
0.122,0.152,0.04
0.111,0.163,0.053
0.123,0.147,0.036
0.101,0.163,0.04
0.115,0.158,0.05
0.123,0.144,0.047
0.113,0.157,0.053
0.113,0.159,0.05
0.112,0.143,0.054
0.109,0.144,0.049
0.121,0.142,0.03
0.134,0.154,0.062
0.113,0.144,0.055
0.117,0.151,0.053
0.121,0.146,0.064
0.112,0.158,0.053
0.118,0.144,0.035
0.115,0.155,0.05
0.117,0.145,0.054
0.114,0.15,0.056
0.117,0.147,0.035
0.105,0.161,0.062
0.109,0.157,0.054
0.109,0.157,0.053
0.126,0.152,0.037
0.122,0.15,0.038
0.128,0.153,0.035
0.116,0.151,0.035
0.119,0.146,0.036
0.115,0.166,0.046
0.108,0.161,0.053
0.117,0.15,0.04
0.117,0.144,0.049
0.111,0.153,0.051
0.107,0.164,0.04
0.125,0.151,0.038
0.118,0.144,0.054
0.116,0.152,0.046
0.124,0.155,0.063
0.105,0.16,0.062
0.107,0.158,0.046
0.121,0.152,0.038
0.117,0.141,0.052
0.119,0.149,0.032
0.115,0.143,0.049
0.122,0.144,0.038
0.093,0.161,0.061
0.107,0.164,0.049
0.122,0.152,0.037
0.11,0.15,0.047
0.108,0.16,0.052
0.099,0.159,0.065
0.121,0.147,0.038
0.129,0.144,0.032
0.112,0.161,0.051
0.124,0.144,0.031
0.121,0.146,0.051
0.122,0.154,0.062
0.119,0.151,0.04
0.114,0.152,0.04
0.123,0.139,0.036
0.118,0.147,0.05
0.123,0.146,0.035
0.111,0.161,0.053
0.115,0.162,0.047
0.118,0.149,0.057
0.109,0.165,0.063
0.108,0.161,0.051
0.125,0.144,0.04
0.118,0.145,0.049
0.117,0.157,0.029
0.125,0.157,0.059
0.105,0.163,0.039
0.113,0.151,0.06
0.119,0.147,0.048
0.11,0.158,0.051
0.107,0.162,0.04
0.115,0.156,0.051
0.11,0.158,0.051
0.121,0.144,0.038
0.111,0.149,0.051
0.122,0.154,0.066
0.105,0.156,0.054
0.125,0.14,0.033
0.117,0.154,0.047
0.109,0.158,0.049
0.106,0.16,0.048
0.101,0.157,0.065
0.12,0.139,0.053
0.116,0.154,0.056
0.127,0.141,0.031
0.126,0.148,0.039
0.113,0.155,0.037
0.113,0.15,0.062
0.107,0.16,0.049
0.124,0.145,0.037
0.114,0.162,0.061
0.122,0.149,0.042
0.118,0.145,0.053
0.107,0.164,0.046
0.108,0.165,0.061
0.116,0.147,0.035
0.127,0.146,0.037
0.111,0.157,0.052
0.12,0.149,0.039
0.125,0.153,0.063
0.11,0.157,0.048
0.118,0.147,0.048
0.121,0.145,0.038
0.105,0.166,0.038
0.123,0.141,0.037
0.118,0.145,0.053
0.118,0.156,0.052
0.113,0.158,0.034
0.107,0.162,0.058
0.119,0.144,0.052
0.128,0.154,0.063
0.113,0.155,0.049
0.123,0.146,0.038
0.104,0.16,0.065
0.108,0.163,0.054
0.121,0.15,0.029
0.116,0.154,0.06
0.115,0.154,0.049
0.128,0.147,0.033
0.115,0.148,0.049
0.118,0.156,0.037
0.111,0.156,0.049
0.11,0.155,0.05
0.117,0.16,0.045
0.102,0.158,0.059
0.125,0.148,0.034
0.115,0.158,0.052
0.112,0.156,0.041
