StripChart:,HMI,
Date:, Tue Feb 28 20:42:02 2023
,
Number of Data Variables =, 20,
Max Number of Data Points =, 10000,
Number of Data Points =, 244,
Time Interval,         1, to ,      4861,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,TS-1 - Top Stage Temperature,TS-1 - Stage Temperature (20__TS-1),TS-1 - Stage Temperature (12__TS-1),TS-1 - Stage Temperature (7__TS-1),TIC11300 - PV,FIC10704 - PV,FIC10705 - PV,FIC10706 - PV,FIC10707 - PV,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Kero Cut Point - ASTM D93 Flash Pt (Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),MixFeed - Mass Flow,FIC10701 - PV,FIC10702 - PV,FIC10703 - PV,TS-1 - Top Stage Pressure,
[seconds],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[C],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[kPa],
        1241,     115.206,      211.79,     282.308,     318.618,     360.011,     78079.9,      120032,     49999.8,     39999.8,     173.504,     161.855,     265.668,     67.0933,      326.69,     369.182,      203501,     27999.8,     31999.9,     10999.9,     159.654,
        1261,     115.206,     211.789,     282.306,     318.615,     360.011,     78079.4,      120032,     49999.8,     39999.8,     173.504,     161.855,     265.668,     67.0933,     326.673,     369.168,      203501,     27999.8,     31999.9,     10999.9,     159.653,
        1281,     115.206,     211.789,     282.304,     318.612,      360.01,       78079,      120032,     49999.8,     39999.8,     173.509,     161.855,     265.666,     67.0939,     326.673,     369.168,      203501,     27999.8,     31999.9,     10999.9,     159.653,
        1301,     115.206,     211.788,     282.302,     318.609,      360.01,     78078.5,      120031,     49999.8,     39999.8,     173.509,     161.855,     265.666,     67.0939,     326.673,     369.168,      203501,     27999.8,     31999.9,     10999.9,     159.652,
        1321,     115.207,     211.788,       282.3,     318.606,      360.01,       78078,      120031,     49999.8,     39999.8,     173.509,     161.855,     265.666,     67.0939,     326.655,     369.153,      203501,     27999.8,     31999.9,     10999.9,     159.652,
        1341,     115.207,     211.787,     282.298,     318.603,     360.009,     78077.6,      120031,     49999.8,     39999.8,     173.514,     161.856,     265.664,     67.0945,     326.655,     369.153,      203501,     27999.8,     31999.9,     10999.9,     159.651,
        1361,     115.207,     211.787,     282.296,       318.6,     360.009,     78077.2,      120031,     49999.8,     39999.8,     173.514,     161.856,     265.664,     67.0945,     326.655,     369.153,      203501,     27999.8,     31999.9,     10999.9,     159.651,
        1381,     115.207,     211.787,     282.294,     318.598,     360.009,     78076.8,      120030,     49999.8,     39999.8,     173.514,     161.856,     265.664,     67.0945,     326.636,     369.137,      203501,     27999.8,     31999.9,     10999.9,     159.651,
        1401,     115.207,     211.786,     282.292,     318.595,     360.008,     78076.4,      120030,     49999.8,     39999.8,     173.518,     161.856,     265.661,     67.0951,     326.636,     369.137,      203501,     27999.8,     31999.9,     10999.9,      159.65,
        1421,     115.208,     211.786,      282.29,     318.592,     360.008,       78076,      120030,     49999.8,     39999.8,     173.518,     161.856,     265.661,     67.0951,     326.636,     369.137,      203501,     27999.8,     31999.9,     10999.9,      159.65,
        1441,     115.208,     211.785,     282.288,     318.589,     360.008,     78075.7,      120030,     49999.8,     39999.8,     173.518,     161.856,     265.661,     67.0951,     326.618,      369.12,      203501,     27999.9,     31999.9,     10999.9,     159.649,
        1461,     115.208,     211.785,     282.286,     318.587,     360.007,     78075.3,      120030,     49999.8,     39999.8,     173.523,     161.856,     265.659,     67.0956,     326.618,      369.12,      203501,     27999.9,     31999.9,     10999.9,     159.649,
        1481,     115.208,     211.785,     282.285,     318.584,     360.007,       78075,      120029,     49999.8,     39999.8,     173.523,     161.856,     265.659,     67.0956,     326.618,      369.12,      203501,     27999.9,     31999.9,     10999.9,     159.649,
        1501,     115.208,     211.784,     282.283,     318.581,     360.007,     78074.7,      120029,     49999.8,     39999.8,     173.523,     161.856,     265.659,     67.0956,     326.599,     369.103,      203501,     27999.9,       32000,     10999.9,     159.648,
        1521,     115.209,     211.784,     282.281,     318.579,     360.006,     78074.4,      120029,     49999.8,     39999.8,     173.527,     161.856,     265.657,     67.0961,     326.599,     369.103,      203501,     27999.9,       32000,     10999.9,     159.648,
        1541,     115.209,     211.783,     282.279,     318.576,     360.006,     78074.1,      120029,     49999.8,     39999.8,     173.527,     161.856,     265.657,     67.0961,     326.599,     369.103,      203501,     27999.9,       32000,     10999.9,     159.648,
        1561,     115.209,     211.783,     282.278,     318.574,     360.006,     78073.8,      120029,     49999.8,     39999.8,     173.527,     161.856,     265.657,     67.0961,     326.581,     369.084,      203501,     27999.9,       32000,     10999.9,     159.647,
        1581,     115.209,     211.782,     282.276,     318.571,     360.006,     78073.5,      120028,     49999.8,     39999.8,     173.532,     161.856,     265.654,     67.0965,     326.581,     369.084,      203501,     27999.9,       32000,     10999.9,     159.647,
        1601,     115.209,     211.782,     282.275,     318.569,     360.005,     78073.3,      120028,     49999.8,     39999.8,     173.532,     161.856,     265.654,     67.0965,     326.581,     369.084,      203501,     27999.9,       32000,     10999.9,     159.647,
        1621,      115.21,     211.782,     282.273,     318.566,     360.005,       78073,      120028,     49999.8,     39999.8,     173.532,     161.856,     265.654,     67.0965,     326.562,     369.067,      203502,     27999.9,       32000,     10999.9,     159.646,
        1641,      115.21,     211.781,     282.271,     318.564,     360.005,     78072.8,      120028,     49999.8,     39999.8,     173.536,     161.856,     265.652,     67.0969,     326.562,     369.067,      203502,     27999.9,       32000,     10999.9,     159.646,
        1661,      115.21,     211.781,      282.27,     318.561,     360.004,     78072.6,      120028,     49999.8,     39999.8,     173.536,     161.856,     265.652,     67.0969,     326.562,     369.067,      203502,     27999.9,       32000,     10999.9,     159.646,
        1681,      115.21,      211.78,     282.268,     318.559,     360.004,     78072.4,      120027,     49999.8,     39999.8,     173.536,     161.856,     265.652,     67.0969,     326.543,     369.049,      203502,     27999.9,       32000,     10999.9,     159.645,
        1701,      115.21,      211.78,     282.267,     318.556,     360.004,     78072.2,      120027,     49999.8,     39999.8,      173.54,     161.856,      265.65,     67.0972,     326.543,     369.049,      203502,     27999.9,       32000,     10999.9,     159.645,
        1721,      115.21,     211.779,     282.265,     318.554,     360.004,       78072,      120027,     49999.8,     39999.8,      173.54,     161.856,      265.65,     67.0972,     326.543,     369.049,      203502,     27999.9,       32000,     10999.9,     159.645,
        1741,     115.211,     211.779,     282.264,     318.552,     360.003,     78071.8,      120027,     49999.8,     39999.8,      173.54,     161.856,      265.65,     67.0972,     326.525,      369.03,      203502,     27999.9,       32000,     10999.9,     159.645,
        1761,     115.211,     211.778,     282.262,     318.549,     360.003,     78071.6,      120027,     49999.8,     39999.8,     173.544,     161.856,     265.647,     67.0976,     326.525,      369.03,      203502,     27999.9,       32000,     10999.9,     159.644,
        1781,     115.211,     211.778,     282.261,     318.547,     360.003,     78071.5,      120026,     49999.8,     39999.8,     173.544,     161.856,     265.647,     67.0976,     326.525,      369.03,      203502,     27999.9,       32000,     10999.9,     159.644,
        1801,     115.211,     211.778,      282.26,     318.545,     360.003,     78071.3,      120026,     49999.8,     39999.8,     173.544,     161.856,     265.647,     67.0976,     326.506,     369.012,      203502,     27999.9,       32000,     10999.9,     159.644,
        1821,     115.211,     211.777,     282.258,     318.543,     360.003,     78071.2,      120026,     49999.8,     39999.8,     173.548,     161.855,     265.645,     67.0978,     326.506,     369.012,      203502,     27999.9,       32000,     10999.9,     159.644,
        1841,     115.211,     211.777,     282.257,      318.54,     360.002,       78071,      120026,     49999.8,     39999.8,     173.548,     161.855,     265.645,     67.0978,     326.506,     369.012,      203502,     27999.9,       32000,     10999.9,     159.644,
        1861,     115.211,     211.776,     282.256,     318.538,     360.002,     78070.9,      120026,     49999.8,     39999.8,     173.548,     161.855,     265.645,     67.0978,     326.488,     368.993,      203502,     27999.9,       32000,     10999.9,     159.643,
        1881,     115.212,     211.776,     282.254,     318.536,     360.002,     78070.8,      120025,     49999.8,     39999.8,     173.552,     161.855,     265.643,     67.0981,     326.488,     368.993,      203502,     27999.9,       32000,       11000,     159.643,
        1901,     115.212,     211.775,     282.253,     318.534,     360.002,     78070.7,      120025,     49999.8,     39999.8,     173.552,     161.855,     265.643,     67.0981,     326.488,     368.993,      203502,     27999.9,       32000,       11000,     159.643,
