StripChart:,Data,
Date:, Tue Feb 14 15:14:22 2023
,
Number of Data Variables =, 13,
Max Number of Data Points =, 100000,
Number of Data Points =, 14918,
Time Interval,         1, to ,    895021,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,Naptha Cut Point - Research Octane Number (Naptha),Diesel Centane Index - Cetane Index (DieselMix),HMI - G8:,HMI - G10:,HMI - G11:,HMI - G13:,HMI - G14:,HMI - G15:,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),
[seconds],[],[],[],[],[],[],[],[],[C],[C],[C],[C],[C],
        6421,     60.2809,     46.8375,     17.3319,     13.3198,     16.5115,     99.1489,    0.425532,    0.425531,     172.427,     159.643,     268.318,     323.021,     359.603,
        6481,     60.2823,     46.8375,     17.3186,     13.3198,     16.5114,     99.1489,    0.425532,    0.425531,     172.461,     159.656,     268.374,     323.096,     359.713,
        6541,     60.2837,     46.8375,     17.3067,     13.3197,     16.5113,     99.1489,    0.425532,    0.425531,     172.495,     159.667,     268.427,      323.17,     359.823,
        6601,     60.2851,     46.8373,     17.2964,     13.3196,     16.5113,     99.1489,    0.425532,    0.425531,     172.527,     159.678,     268.478,     323.243,     359.934,
        6661,     60.2866,     46.8371,     17.2875,     13.3196,     16.5112,     99.1489,    0.425532,    0.425531,      172.56,     159.687,     268.525,     323.315,     360.045,
        6721,     60.2881,     46.8367,     17.2801,     13.3195,     16.5111,     99.1489,    0.425532,    0.425531,     172.591,     159.696,     268.571,     323.386,     360.156,
        6781,     60.2896,     46.8363,     17.2742,     13.3195,     16.5111,     99.1489,    0.425532,    0.425531,     172.621,     159.704,     268.614,     323.456,     360.266,
        6841,     60.2911,     46.8359,     17.2697,     13.3195,     16.5111,     99.1489,    0.425532,    0.425531,     172.651,     159.711,     268.655,     323.525,     360.376,
        6901,     60.2926,     46.8354,     17.2665,     13.3195,     16.5111,     99.1489,    0.425532,    0.425531,      172.68,     159.718,     268.693,     323.593,     360.486,
        6961,     60.2941,     46.8348,     17.2648,     13.3195,     16.5111,     99.1489,    0.425532,    0.425531,     172.709,     159.724,      268.73,      323.66,     360.595,
        7021,     60.2956,     46.8342,     17.2645,     13.3195,     16.5111,     99.1489,    0.425532,    0.425531,     172.736,     159.729,     268.765,     323.726,     360.703,
        7081,     60.2971,     46.8335,     17.2655,     13.3195,     16.5111,     99.1489,    0.425532,    0.425531,     172.764,     159.734,     268.798,     323.791,      360.81,
        7141,     60.2986,     46.8329,     17.2679,     13.3195,     16.5112,     99.1489,    0.425532,    0.425531,      172.79,     159.738,     268.829,     323.856,     360.915,
        7201,     60.3001,     46.8321,     17.2716,     13.3196,     16.5112,     99.1489,    0.425532,    0.425531,     172.816,     159.742,     268.859,     323.919,      361.02,
        7261,     60.3016,     46.8314,     17.2765,     13.3196,     16.5112,     99.1489,    0.425532,    0.425531,     172.841,     159.746,     268.886,     323.981,      361.03,
        7321,      60.303,     46.8305,     17.2828,     13.3196,     16.5113,     99.1489,    0.425532,    0.425531,     172.865,     159.749,     268.913,     324.043,     361.134,
        7381,     60.3045,     46.8297,     17.2903,     13.3196,     16.5113,     99.1489,    0.425532,    0.425531,     172.889,     159.752,     268.938,     324.103,     361.237,
        7441,      60.306,     46.8288,      17.299,     13.3197,     16.5113,     99.1489,    0.425532,    0.425531,     172.912,     159.754,     268.961,     324.163,     361.338,
        7501,     60.3074,     46.8279,     17.3089,     13.3197,     16.5114,     99.1489,    0.425532,    0.425531,     172.935,     159.757,     268.984,     324.221,     361.438,
        7561,     60.3088,      46.827,       17.32,     13.3197,     16.5114,     99.1489,    0.425532,    0.425531,     172.957,     159.759,     269.005,     324.279,     361.537,
        7621,     60.3103,      46.826,     17.3322,     13.3197,     16.5114,     99.1489,    0.425532,    0.425531,     172.979,     159.761,     269.024,     324.335,     361.633,
        7681,     60.3117,     46.8251,     17.3456,     13.3197,     16.5114,     99.1489,    0.425532,    0.425531,         173,     159.763,     269.043,     324.391,     361.728,
        7741,      60.313,     46.8241,       17.36,     13.3198,     16.5115,     99.1489,    0.425532,    0.425531,      173.02,     159.765,     269.061,     324.445,     361.822,
        7801,     60.3144,     46.8231,     17.3755,     13.3198,     16.5115,     99.1489,    0.425532,    0.425531,      173.04,     159.767,     269.078,     324.499,     361.913,
        7861,     60.3158,     46.8221,     17.3921,     13.3198,     16.5115,     99.1489,    0.425532,    0.425531,      173.06,     159.769,     269.093,     324.551,     362.003,
        7921,     60.3171,     46.8211,     17.4096,     13.3198,     16.5115,     99.1489,    0.425532,    0.425531,     173.079,      159.77,     269.108,     324.602,     362.091,
        7981,     60.3184,     46.8201,     17.4282,     13.3197,     16.5115,     99.1489,    0.425532,    0.425531,     173.097,     159.772,     269.122,     324.653,     362.177,
        8041,     60.3197,     46.8191,     17.4477,     13.3197,     16.5114,     99.1489,    0.425532,    0.425531,     173.115,     159.773,     269.136,     324.702,     362.261,
        8101,      60.321,     46.8181,     17.4681,     13.3197,     16.5114,     99.1489,    0.425532,    0.425531,     173.133,     159.775,     269.148,      324.75,     362.344,
        8161,     60.3223,     46.8171,     17.4895,     13.3197,     16.5114,     99.1489,    0.425532,    0.425531,      173.15,     159.776,      269.16,     324.797,     362.425,
        8221,     60.3235,      46.816,     17.5117,     13.3197,     16.5114,     99.1489,    0.425532,    0.425531,     173.167,     159.778,     269.171,     324.843,     362.504,
        8281,     60.3247,      46.815,     17.5347,     13.3197,     16.5114,     99.1489,    0.425532,    0.425531,     173.183,     159.779,     269.182,     324.887,     362.581,
        8341,     60.3259,      46.814,     17.5586,     13.3196,     16.5113,     99.1489,    0.425532,    0.425531,       173.2,     159.781,     269.192,     324.931,     362.656,
        8401,     60.3271,     46.8129,     17.5832,     13.3196,     16.5113,     99.1489,    0.425532,    0.425531,     173.215,     159.782,     269.201,     324.973,     362.729,
        8461,     60.3283,     46.8119,     17.6086,     13.3196,     16.5113,     99.1489,    0.425532,    0.425531,     173.231,     159.783,      269.21,     325.015,     362.801,
        8521,     60.3295,     46.8109,     17.6348,     13.3196,     16.5112,     99.1489,    0.425532,    0.425531,     173.245,     159.785,     269.218,     325.055,      362.87,
        8581,     60.3306,     46.8098,     17.6616,     13.3195,     16.5112,     99.1489,    0.425532,    0.425531,      173.26,     159.786,     269.226,     325.094,     362.938,
