StripChart:,HMI,
Date:, Thu Mar 09 20:00:43 2023
,
Number of Data Variables =, 26,
Max Number of Data Points =, 10000,
Number of Data Points =, 2807,
Time Interval,         1, to ,     56121,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,TS-1 - Top Stage Temperature,TS-1 - Stage Temperature (20__TS-1),TS-1 - Stage Temperature (12__TS-1),TS-1 - Stage Temperature (7__TS-1),TIC11300 - PV,FIC10704 - PV,FIC10705 - PV,FIC10706 - PV,FIC10707 - PV,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Kero Cut Point - ASTM D93 Flash Pt (Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),MixFeed - Mass Flow,FIC10701 - PV,FIC10702 - PV,FIC10703 - PV,TS-1 - Top Stage Pressure,FIC-100 - SP,FIC-100 - PV,FIC-102 - SP,FIC-102 - PV,FIC-101 - PV,FIC-101 - SP,
[seconds],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[C],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[kPa],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],
        1261,     116.343,     208.423,     280.776,     316.854,     359.454,     85836.7,      119835,     49987.9,     39993.8,     174.109,     162.049,     260.476,     64.6764,     323.442,      364.71,      235227,       25012,     38017.7,     10005.1,     166.233,       42850,     42891.3,       83256,     83337.2,      108999,      108894,
        1281,     116.348,     208.401,     280.743,     316.824,     359.462,     85919.9,      119834,     49988.2,     39993.9,     174.102,     161.961,     260.415,     64.6124,     323.442,      364.71,      235229,     25011.6,     38017.2,     10004.9,     166.276,       42850,     42891.7,       83256,     83338.1,      109000,      108894,
        1301,     116.352,     208.379,     280.711,     316.793,     359.468,     86001.4,      119833,     49988.4,     39993.9,     174.102,     161.961,     260.415,     64.6124,     323.442,      364.71,      235231,     25011.2,     38016.6,     10004.8,     166.319,       42850,       42892,       83256,     83338.6,      109000,      108894,
        1321,     116.356,     208.357,     280.679,     316.762,     359.475,     86081.5,      119833,     49988.7,       39994,     174.102,     161.961,     260.415,     64.6124,     323.323,      364.65,      235231,     25010.9,     38016.1,     10004.6,      166.36,       42850,       42892,       83256,     83338.8,      109000,      108894,
        1341,     116.359,     208.334,     280.647,     316.731,      359.48,       86160,      119832,       49989,     39994.1,     174.091,     161.866,     260.353,     64.5457,     323.323,      364.65,      235230,     25010.6,     38015.6,     10004.4,     166.401,       42850,     42891.9,       83256,     83338.6,      109000,      108894,
        1361,     116.362,     208.311,     280.615,     316.699,     359.482,     86237.2,      119831,     49989.2,     39994.2,     174.091,     161.866,     260.353,     64.5457,     323.323,      364.65,      235229,     25010.3,     38015.2,     10004.3,     166.441,       42850,     42891.7,       83256,     83338.1,      108999,      108894,
        1381,     116.365,     208.287,     280.583,     316.667,     359.484,     86313.2,      119831,     49989.4,     39994.2,     174.091,     161.866,     260.353,     64.5457,     323.195,     364.582,      235227,       25010,     38014.8,     10004.1,     166.479,       42850,     42891.3,       83256,     83337.4,      108998,      108894,
        1401,     116.367,     208.263,     280.551,     316.635,     359.488,     86387.7,      119830,     49989.7,     39994.3,     174.076,     161.765,     260.289,     64.4769,     323.195,     364.582,      235224,     25009.7,     38014.4,       10004,     166.517,       42850,     42890.7,       83256,     83336.4,      108997,      108894,
        1421,      116.37,     208.239,      280.52,     316.603,     359.488,     86461.1,      119830,     49989.9,     39994.3,     174.076,     161.765,     260.289,     64.4769,     323.195,     364.582,      235221,     25009.5,       38014,     10003.9,     166.555,       42850,     42890.1,       83256,     83335.2,      108996,      108894,
        1441,     116.371,     208.215,     280.489,      316.57,      359.49,     86533.4,      119829,     49990.1,     39994.4,     174.076,     161.765,     260.289,     64.4769,     323.058,     364.505,      235217,     25009.2,     38013.7,     10003.8,     166.591,       42850,     42889.4,       83256,     83333.8,      108994,      108894,
        1461,     116.373,     208.191,     280.458,     316.538,     359.491,     86604.6,      119829,     49990.4,     39994.5,     174.059,     162.278,     260.225,     64.0519,     323.058,     364.505,      235212,       25009,     38013.4,     10003.7,     166.627,       42850,     42888.6,       83256,     83332.2,      108992,      108894,
